id,iteration,target_feature,pseudo_feature,actual_feature,distance,selection_method,P_hit,U_i,group_key,mode,is_valid,target_label
job_080_Mn_fe_-1.081_n4_generated_crystals_cif__gen_2,3,-2.1,-2.14270544052124,-2.017192840576172,-0.0427054405212397,gated_ta_dpp,0.4103373746674481,0.0126473095295803,LiMn2O4,threshold_greedy,0,0
job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_2,3,-2.1,-2.1078929901123047,-2.022401571273804,-0.0078929901123045,gated_ta_dpp,0.4101653625037268,0.0146935754915199,LiMn2O4,threshold_greedy,1,1
job_171_Cr_fe_-1.042_n4_generated_crystals_cif__gen_3,3,-2.1,-2.1918628215789795,-2.135138750076294,-0.0918628215789794,gated_ta_dpp,0.4037991513208894,0.0010005940897158,LiCr2O4,threshold_greedy,1,1
job_142_Mn_fe_-1.095_n4_generated_crystals_cif__gen_3,3,-2.1,-2.133856296539306,-1.9228596687316888,-0.0338562965393061,gated_ta_dpp,0.3731599934689625,0.0187699396653446,LiMn2O4,threshold_greedy,0,0
job_030_Mn_fe_-1.234_n4_generated_crystals_cif__gen_0,3,-2.1,-2.0510740280151367,-2.032205581665039,0.0489259719848633,gated_ta_dpp,0.3658783985326545,0.0186202742183106,LiMn2O4,threshold_greedy,1,1
job_115_Al_fe_-1.173_n4_generated_crystals_cif__gen_1,3,-2.1,-2.041539669036865,-3.12134313583374,0.0584603309631353,gated_ta_dpp,0.3543244070534405,0.0195001543115434,LiAl2O4,threshold_greedy,0,0
job_214_Cr_fe_-0.857_n4_generated_crystals_cif__gen_3,4,-2.1,-2.145031213760376,-2.1943607330322266,-0.0450312137603758,gated_ta_dpp,0.4410820663558844,0.0064342577643293,LiCr2O4,dpp_diverse,0,0
job_182_Cr_fe_-1.464_n4_generated_crystals_cif__gen_2,4,-2.1,-2.1598997116088867,-2.143676280975342,-0.0598997116088866,gated_ta_dpp,0.4203839388005425,0.0067676506964355,LiCr2O4,dpp_diverse,1,1
job_182_Cr_fe_-1.464_n4_generated_crystals_cif__gen_3,4,-2.1,-2.040452480316162,-2.1561551094055176,0.0595475196838379,gated_ta_dpp,0.4185846434072915,0.0070327406001996,LiCr2O4,dpp_diverse,1,1
job_088_Cr_fe_-1.127_n4_generated_crystals_cif__gen_2,4,-2.1,-2.039649486541748,-2.213667154312134,0.060350513458252,gated_ta_dpp,0.3972013951223359,0.0095434258969902,LiCr2O4,dpp_diverse,0,0
job_042_Cr_fe_-0.962_n4_generated_crystals_cif__gen_2,4,-2.1,-2.067960262298584,-2.1674489974975586,0.0320397377014161,gated_ta_dpp,0.3690632975084629,0.015822573546719,LiCr2O4,dpp_diverse,1,1
job_216_Cr_fe_-0.890_n4_generated_crystals_cif__gen_3,4,-2.1,-2.0845680236816406,-2.149548053741455,0.0154319763183594,gated_ta_dpp,0.3611009596810443,0.0175706066019352,LiCr2O4,dpp_diverse,1,1
job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1,4,-2.1,-2.142994165420532,-2.17874813079834,-0.0429941654205316,gated_ta_dpp,0.3555814805783422,0.0170167127852574,LiCr2O4,dpp_diverse,1,1
job_249_Cr_fe_-1.500_n4_generated_crystals_cif__gen_1,4,-2.1,-2.0732150077819824,-2.1460623741149902,0.0267849922180176,gated_ta_dpp,0.3517017231034545,0.0185284006474477,LiCr2O4,dpp_diverse,1,1
job_220_Cr_fe_-1.305_n4_generated_crystals_cif__gen_1,4,-2.1,-2.0193562507629395,-2.181419849395752,0.0806437492370606,gated_ta_dpp,0.3480342206755336,0.013603672351804,LiCr2O4,dpp_diverse,0,0
job_016_Cr_fe_-1.264_n4_generated_crystals_cif__gen_3,4,-2.1,-2.0842385292053223,-2.187363386154175,0.0157614707946778,gated_ta_dpp,0.3225606731480116,0.0235225533792356,LiCr2O4,dpp_diverse,0,0
job_182_Cr_fe_-1.464_n4_generated_crystals_cif__gen_1,4,-2.1,-2.0425562858581543,-2.244051933288574,0.0574437141418457,gated_ta_dpp,0.3222322221119559,0.0212553660308568,LiCr2O4,dpp_diverse,0,0
job_029_Cr_fe_-1.337_n4_generated_crystals_cif__gen_3,4,-2.1,-2.0646753311157227,-2.181931734085083,0.0353246688842774,gated_ta_dpp,0.3195080511311215,0.0233332992040093,LiCr2O4,dpp_diverse,0,0
job_204_Cr_fe_-0.932_n4_generated_crystals_cif__gen_0,4,-2.1,-2.0572400093078613,-2.20471739768982,0.0427599906921387,gated_ta_dpp,0.3191139082890887,0.0229718910591321,LiCr2O4,dpp_diverse,0,0
