candidate_id,group_key
695044,s1|d2
696630,s2|p1
697820,s1|p1|f1
699041,s1|d1|f1
699691,p2
703684,s1|p2
704255,p2|d1
705288,p1|d1|f1
706246,s1|d1|f1
706248,s1|d1|f1
707875,s1|p2
720103,s1|d1|f1
720196,p1|d2
721172,s2|p1|d1
726800,s1|p3
727111,s1|p3
728301,s1|p1
729027,s2|p2
729033,s1|p2|d1
729389,s2|p1
729824,s1|p2|d1
731668,s1|p1
733680,s1|p2
735626,s2|p1
743698,s1|d1|f1
743838,s1|p1|f1
744084,s1|p1|d1
745107,s2|p2
746793,s2|p1
753545,s1|p1|d1
753882,s1|p2|d1
754076,s1|d2
754649,p2
755012,s1|p1|d1
756399,s1|d2
756893,d2
757046,s1|p2
757178,s1|p2|d1
757199,s1|d2
757236,s1|p2|d1
757284,p1|d2
757439,p1|d2
757703,p2|d1
757903,d2
758211,s1|d2
758256,p1|d2
758293,p1|d2
758445,s1|p1|d2
759559,s2|p2
759656,s2|p1
759748,s2|p2
759934,s2|p2
759967,s3|p1
759992,p1|d2
760023,s3|p1
760033,s1|p1
761556,d1
764245,s1
764613,s1|p1|d1
764870,s1|p1|d2
766468,s2|p2
766470,s2|p2
766498,s1|p2
766510,s1|p2|d1
766531,s1|p2|d1
766616,s1|p2
767054,s1|d2
768579,s1|p2
768606,s1|p2
769455,s1|d2
769474,s1|p2
770412,d1
770518,s1|d2
770554,p1|d1
770680,s1|p1
770725,s2|p1
770761,s1|p2
770765,s1|p2
770842,s1|p1|d1
770859,d2
770881,s1
770900,s1|p2
770905,s1|p2
770910,s1|p1
771061,p1|d1
771092,s1|p1|d1
771142,s1|p2
771360,s1|p2
771641,p1|d1
771706,s1|p2
771824,s1|p2
771910,d2
771946,p1|d1
772101,s1|p2
772182,s1|p2
772308,s2|p2
772970,s1|p2
773432,s1|p2
773605,s1|p1
774293,s1|d2
774294,s1|d2
774604,s1|d2
774791,s1|p1|d1
774806,s1|p1|d1
774916,p1|d2
775116,p1|d1
775171,s1|p1|d2
775289,p1|d2
775298,s1|p1|d1
775601,s1|p2
776269,s1|d2
776829,s1|p1|d1
777063,s1|d2
778261,s1|p1|d2
778282,s2|p1
778493,s1|p1|d1
778885,s1|d2
779026,s1|p1|d2
780308,s1|p1
780696,s2|p1
780872,s1|p1
818613,p2
820860,p2|d1
831077,s1|p2
849251,p1|d2
850186,s1|p1|d1
850531,d2
861478,s1|p1|d1
862748,s1|p1|d1
863857,p1|d1
867530,s1|d2
867667,s1|d2
997183,d1
