candidate_id,cohort,calculation_id,stage_role,functional,outcar_available,vasp_completed,electronic_converged,ionic_convergence_status,final_total_energy_eV,Fmax_eV_A,final_total_magnetic_moment,failure_reason,outcar_path,outcar_sha256,vasprun_path,output_provenance
job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1,new,01_pbe_relax,relax,PBE,True,True,True,converged,-35.50321938,0.02987515763975146,3.0,,new12_dft_final/candidate_outputs/candidate_012_Mg_job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1/stages/01_pbe_relax/OUTCAR,2bd7a61bcb56fc614b3901d5d8dd466eb54e5b4fe5d27cb3a12d6788cf4ea9e2,new12_dft_final/candidate_outputs/candidate_012_Mg_job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1/stages/01_pbe_relax/vasprun.xml,stage-specific original output
job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1,new,02_pbe_static,static,PBE,True,True,True,not_applicable_static,-35.50340314,0.027193100926521784,3.0001,,new12_dft_final/candidate_outputs/candidate_012_Mg_job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1/stages/02_pbe_static/OUTCAR,e3a8a237669e2347fa5956990aef6280a71ce0ede0ca18de115ecd41313d1d4e,new12_dft_final/candidate_outputs/candidate_012_Mg_job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1/stages/02_pbe_static/vasprun.xml,stage-specific original output
job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1,new,01_pbe_relax,relax,PBE,True,True,True,converged,-54.29665962,0.06979488962667682,5.0,,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/01_pbe_relax/OUTCAR,7cf65eb0ddaef251fbd0e0622b4d9c045d431cb68862573fe390605af10f1f9f,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/01_pbe_relax/vasprun.xml,stage-specific original output
job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1,new,02_pbe_static,static,PBE,True,True,True,not_applicable_static,-54.2910586,0.08071626197365683,5.0002,,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/02_pbe_static/OUTCAR,e0b9ed16383ca23e33b9255d54978bc9b695c0f66448128a14b9a56b864b2656,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/02_pbe_static/vasprun.xml,stage-specific original output
job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1,new,03_gga_u_relax,relax,GGA+U,True,True,True,converged,-49.07810353,0.048097108166707904,5.0,,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/03_gga_u_relax/OUTCAR,d49e7dc671efd0f08cf51e145ea1bb4e5ca42dcc2d9c47cbe1af5c7faa5d74a9,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/03_gga_u_relax/vasprun.xml,stage-specific original output
job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1,new,04_gga_u_static,static,GGA+U,True,True,True,not_applicable_static,-49.08086766,0.08017889570828472,5.0,,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/04_gga_u_static/OUTCAR,0626d6c64c5bdcf4762233858caf9d9b86b15f5fef6854b5c163e177b0269465,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/stages/04_gga_u_static/vasprun.xml,stage-specific original output
job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1,new,tight_state_afm_01_tight_relax,relax,GGA+U,True,True,True,converged,-49.05557847,0.04280746557552783,1.0,,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_afm/01_tight_relax/OUTCAR,3b796ef00dd2233272352f311e6dd3b6ec833711692330a1f30a703924dbc3f3,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_afm/01_tight_relax/vasprun.xml,stage-specific original output
job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1,new,tight_state_afm_02_static,static,GGA+U,True,True,True,not_applicable_static,-49.05314335,0.08110967585929561,1.0,,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_afm/02_static/OUTCAR,1ae3cef2592c8e5ee562f76afe8df6bc15d41b63fcb6cbe49036bd61014a2ca3,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_afm/02_static/vasprun.xml,stage-specific original output
job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1,new,tight_state_fm_01_tight_relax,relax,GGA+U,True,True,True,converged,-49.11003253,0.0475178173004611,5.0,,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_fm/01_tight_relax/OUTCAR,f3270e0a8a4f698c80aef9cec3514ef4582fc4c9fe1da355f82df9123ceaf3b7,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_fm/01_tight_relax/vasprun.xml,stage-specific original output
job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1,new,tight_state_fm_02_static,static,GGA+U,True,True,True,not_applicable_static,-49.10916607,0.05181176520829994,5.0,,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_fm/02_static/OUTCAR,1dca4e9b79cbbd283aa2b536afad812434795933cdad2ee0874b3e20dcab25ed,new12_dft_final/candidate_outputs/candidate_001_Cr_job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_fm/02_static/vasprun.xml,stage-specific original output
job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0,new,01_pbe_relax,relax,PBE,True,True,True,converged,-54.59508125,0.06161254790219278,5.0,,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/01_pbe_relax/OUTCAR,5fc8f0e9658321acd46fd59a3d9d9c9bb05507bc4bd1800118ef238de8de1df8,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/01_pbe_relax/vasprun.xml,stage-specific original output
job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0,new,02_pbe_static,static,PBE,True,True,True,not_applicable_static,-54.59049334,0.059730513617413335,5.0002,,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/02_pbe_static/OUTCAR,ebb3437d4071788e3a88c877dda4dbebaa84c1a4d37f1df109eb1359aaaec04b,new12_dft_final/candidate_outputs/candidate_003_Cr_job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0/stages/02_pbe_static/vasprun.xml,stage-specific original output
