candidate_id,m_element,formula,cif_sha256,structure_matcher_cluster,structure_matcher_cluster_size,atom_count,space_group_number,min_interatomic_distance,volume_per_atom,chgnet_initial_energy_eV_atom,chgnet_final_energy_eV_atom,chgnet_max_force_eV_A,chgnet_stress_GPa,chgnet_volume_change_fraction,chgnet_min_interatomic_distance_A,chgnet_rms_displacement_A,chgnet_final_space_group_number,mace_initial_energy_eV_atom,mace_final_energy_eV_atom,mace_max_force_eV_A,mace_stress_GPa,mace_volume_change_fraction,mace_min_interatomic_distance_A,mace_rms_displacement_A,mace_final_space_group_number,mlip_energy_disagreement_eV_atom,mlip_rms_displacement_disagreement_A,mlip_volume_change_disagreement_fraction,p_dft_evaluable,evaluability_uncertainty,composition_only_probability,predicted_dft_energy_mean,predicted_dft_energy_std,p_interval_hit,energy_calibration_model_id,p_interval_alignn,p_interval_mlip,dft_evaluability_model,evidence_tier
job_013_Cr_fe_-1.388_n4_generated_crystals_cif__gen_3,Cr,Li1 Cr2 O4,f09aa1041b97fc03a6f96935da754d5cff92e1ac17f619790b051b987e833a18,SM_Cr_003,20,7.0,6,1.942278,10.792846,-8.080926077706474,-8.08136967250279,0.0638846551161467,0.8533326296909657,-0.0020028513196933,1.933276959860465,0.0050194710815793,10,-7.102041525374793,-7.103508047351119,0.0977500655428751,0.7108126718491063,-0.0038448516935998,1.9199820404043175,0.0137262879545442,10,0.9778616251516707,0.008706816872964901,0.0018420003739064998,0.6495684850001285,0.23443178557461944,0.42857142857142855,-2.2960728734065716,0.02,0.5778343626448711,MACE-MP::composition_offset,0.26923241902269457,0.5778343626448711,shallow_gradient_boosting,ML_estimate_only
job_016_Cr_fe_-1.264_n4_generated_crystals_cif__gen_1,Cr,Li1 Cr2 O4,a9c1292c22a4eabf7159fb233396e2f725d8dbe463b688e88a2411577926f8f6,SM_Cr_003,20,7.0,2,1.952587,10.670673,-8.081008911132812,-8.081897735595703,0.0681986366796393,0.1827187982948465,-0.0006912589100813,1.9344905210951968,0.0111869980525778,10,-7.101679670625364,-7.103714815485449,0.0952928380703343,0.8014537031537801,-0.0009818136274534,1.914439250970404,0.0286458262144736,10,0.9781829201102541,0.0174588281618958,0.00029055471737210003,0.7080469618485223,0.20611361294978606,0.42857142857142855,-2.2962796415409015,0.02,0.5737846469275423,MACE-MP::composition_offset,0.2806140233121154,0.5737846469275423,shallow_gradient_boosting,ML_estimate_only
job_016_Cr_fe_-1.264_n4_generated_crystals_cif__gen_2,Cr,Li1 Cr2 O4,2afece50ed186f8fa1dd32f60521ab8cf5a8502d59db3dfccca530e19d65457c,SM_Cr_002,15,7.0,44,1.946972,10.004222,-8.031958443777901,-8.032071794782366,0.0914327222382026,1.2565336862188,0.0006068997739283,1.947699697460218,0.0015481487125741,44,-7.0777020787913925,-7.078511266695577,0.065818391351266,1.1572225546236414,-0.0004519409079363,1.9528846714574464,0.0093825273194274,44,0.9535605280867889,0.0078343786068533,0.0010588406818646,0.7748501763278156,0.1777208842637805,0.42857142857142855,-2.27107609275103,0.02,0.9259387929483908,MACE-MP::composition_offset,0.15772168051359103,0.9259387929483908,shallow_gradient_boosting,ML_estimate_only
job_016_Cr_fe_-1.264_n4_generated_crystals_cif__gen_3,Cr,Li1 Cr2 O4,43b988cf2780ea75e2bfa73e9589c0c44884dc9a8f1357dcd4ced1c60cb24b3f,SM_Cr_006,14,7.0,8,1.939743,10.445444,-8.070213317871094,-8.070836203438896,0.0890900760454604,0.5801594357849305,0.0013512658574039,1.9433839488652875,0.0067475709714722,12,-7.093002578053155,-7.093408941802671,0.0958576073270381,0.8649540877742925,-8.331097160696466e-05,1.9432271059084023,0.0037685637834834,12,0.9774272616362252,0.0029790071879888,0.0014345768290108646,0.7172756609482576,0.21183002953758337,0.42857142857142855,-2.285973767858123,0.02,0.7584457141800949,MACE-MP::composition_offset,0.7384079574447574,0.7584457141800949,shallow_gradient_boosting,ML_estimate_only
job_017_Mn_fe_-1.234_n4_generated_crystals_cif__gen_0,Mn,Li1 Mn2 O4,21e8fe9b1ba165b596d3322f21e4d41569da1acb3ba836115b2980339bbfe95a,SM_Mn_004,35,7.0,2,1.915332,10.706988,-7.722018105643136,-7.722322736467634,0.0972492108383557,1.0081274964064872,0.00090119144678,1.918599913375884,0.0028964430671678,2,-6.853228733721468,-6.853984323575601,0.0427567780246697,1.3260254328519478,0.0035408557647804,1.9155072832075173,0.0081336212907539,2,0.8683384128920331,0.005237178223586101,0.0026396643180004,0.7222618307188479,0.207716340388073,0.5,-1.8580492305340046,0.02,1.0,MACE-MP::composition_offset,1.0,1.0,shallow_gradient_boosting,ML_estimate_only
job_017_Mn_fe_-1.234_n4_generated_crystals_cif__gen_1,Mn,Li1 Mn2 O4,9aaa81e9b3292e88ddf20ab44b7ff4b7eb03abae429e2d838d29f1214adcd26e,SM_Mn_005,9,7.0,1,1.905567,10.481356,-7.693503243582589,-7.697024209158761,0.0833495046994807,0.9986425385887528,0.0122637645520304,1.9187771596995729,0.0208559630033753,1,-6.8240806399810845,-6.828402662849791,0.0946898073058247,0.7421091862252606,0.0154278610291263,1.9133070878203475,0.0246020191796482,1,0.8686215463089706,0.0037460561762728967,0.003164096477095899,0.5106727754077964,0.2522015090939804,0.5,-1.8324675698081947,0.02,1.0,MACE-MP::composition_offset,1.0,1.0,shallow_gradient_boosting,ML_estimate_only
job_017_Mn_fe_-1.234_n4_generated_crystals_cif__gen_2,Mn,Li1 Mn2 O4,d93578a990da2ea6f438e9ecd66ce71677fb5423a67f2f21019c1fb0ef43e3a1,SM_Mn_006,3,7.0,6,1.889327,9.964122,-7.65644291469029,-7.669094085693359,0.0725521424604416,1.2249012190959057,-0.0041844644500368,1.930586291590194,0.0348730568866811,10,-6.787534362041328,-6.791697129332001,0.0557499130096678,1.5336253880796442,-0.0059293866969987,1.9291025324471969,0.023133022523453,10,0.8773969563613582,0.011740034363228104,0.0017449222469619,0.6187415401014863,0.27821556947082626,0.5,-1.7957620362904052,0.02,1.0,MACE-MP::composition_offset,1.0,1.0,shallow_gradient_boosting,ML_estimate_only
job_017_Mn_fe_-1.234_n4_generated_crystals_cif__gen_3,Mn,Li1 Mn2 O4,15615e8cad2dd2c794966689c0ddf0c584c825af061e371deb7b2ac44df80bd2,SM_Mn_007,7,7.0,1,1.880962,10.056066,-7.672154017857143,-7.673829759870257,0.0764893920101462,1.3366119414529234,0.0046754469821279,1.8986429694062037,0.0130240447602917,1,-6.794884241217424,-6.797348325859867,0.0958107487780992,1.1836230411105784,0.0066827815505796,1.8957447418961555,0.0207260070057965,1,0.8764814340103904,0.0077019622455048,0.0020073345684517,0.4819581228708071,0.26346401680897225,0.5,-1.8014132328182706,0.02,1.0,MACE-MP::composition_offset,1.0,1.0,shallow_gradient_boosting,ML_estimate_only
job_019_Mg_fe_-1.315_n4_generated_crystals_cif__gen_0,Mg,Li1 Mg2 O4,3a0a3881c9e6e9e64a81fbcc6e05bc15eea4be53418a55cc7a89dbd991882fbc,SM_Mg_005,2,7.0,1,1.520788,11.984386,-5.349021366664341,-5.404059273856027,0.0535592392314779,1.048998046245498,0.0687357493040825,1.6232383349325714,0.069229770008896,2,-4.985127083575164,-5.254516672203117,0.0826989264964637,0.8099064765734287,-0.0037774649571185,1.4925660733780082,0.3392048131533838,12,0.14954260165291,0.2699750431444878,0.072513214261201,0.23662432910718487,0.19545833058111003,0.75,-1.7077164745629885,0.02,1.0,MACE-MP::composition_offset,2.4181175819192224e-60,1.0,shallow_gradient_boosting,ML_estimate_only
job_020_Mn_fe_-0.989_n4_generated_crystals_cif__gen_0,Mn,Li1 Mn2 O4,5053b3d87925dd1289d064cae84253886d9f4f065bc7b7176eb5d45b92e85dac,SM_Mn_004,35,7.0,1,1.925373,10.984384,-7.719274248395648,-7.722205025809152,0.0969501116036156,0.5672929456180635,-0.0110557113747151,1.9266695529587536,0.0270321221763277,2,-6.85012544256295,-6.853014658383216,0.0770159409525306,1.2486190126440369,-0.0047943257363576,1.9167394165904263,0.0178329596051673,2,0.8691903674259356,0.0091991625711604,0.0062613856383575,0.5142365967825031,0.2647791176506113,0.5,-1.8570795653416203,0.02,1.0,MACE-MP::composition_offset,1.0,1.0,shallow_gradient_boosting,ML_estimate_only
