method,seed,query,cumulative_targets
Predicted-Target Greedy,7,240,81
Predicted-Target Greedy,7,256,88
Predicted-Target Greedy,7,272,91
Predicted-Target Greedy,7,288,99
Predicted-Target Greedy,7,304,103
Predicted-Target Greedy,7,320,106
Predicted-Target Greedy,8,16,8
Predicted-Target Greedy,8,32,15
Predicted-Target Greedy,8,48,17
Predicted-Target Greedy,8,64,19
Predicted-Target Greedy,8,80,26
Predicted-Target Greedy,8,96,30
Predicted-Target Greedy,8,112,36
Predicted-Target Greedy,8,128,40
Predicted-Target Greedy,8,144,46
Predicted-Target Greedy,8,160,50
Predicted-Target Greedy,8,176,56
Predicted-Target Greedy,8,192,62
Predicted-Target Greedy,8,208,69
Predicted-Target Greedy,8,224,73
Predicted-Target Greedy,8,240,81
Predicted-Target Greedy,8,256,88
Predicted-Target Greedy,8,272,91
Predicted-Target Greedy,8,288,96
Predicted-Target Greedy,8,304,97
Predicted-Target Greedy,8,320,102
Predicted-Target Greedy,9,16,8
Predicted-Target Greedy,9,32,15
Predicted-Target Greedy,9,48,17
Predicted-Target Greedy,9,64,19
Predicted-Target Greedy,9,80,26
Predicted-Target Greedy,9,96,30
Predicted-Target Greedy,9,112,36
Predicted-Target Greedy,9,128,40
Predicted-Target Greedy,9,144,46
Predicted-Target Greedy,9,160,50
Predicted-Target Greedy,9,176,56
Predicted-Target Greedy,9,192,62
Predicted-Target Greedy,9,208,69
Predicted-Target Greedy,9,224,73
Predicted-Target Greedy,9,240,81
Predicted-Target Greedy,9,256,88
Predicted-Target Greedy,9,272,91
Predicted-Target Greedy,9,288,97
Predicted-Target Greedy,9,304,97
Predicted-Target Greedy,9,320,101
Predicted-Target Greedy,10,16,8
Predicted-Target Greedy,10,32,15
Predicted-Target Greedy,10,48,17
Predicted-Target Greedy,10,64,19
Predicted-Target Greedy,10,80,26
Predicted-Target Greedy,10,96,30
Predicted-Target Greedy,10,112,36
Predicted-Target Greedy,10,128,40
Predicted-Target Greedy,10,144,46
Predicted-Target Greedy,10,160,50
Predicted-Target Greedy,10,176,56
Predicted-Target Greedy,10,192,62
Predicted-Target Greedy,10,208,69
Predicted-Target Greedy,10,224,73
Predicted-Target Greedy,10,240,81
Predicted-Target Greedy,10,256,88
Predicted-Target Greedy,10,272,91
Predicted-Target Greedy,10,288,95
Predicted-Target Greedy,10,304,98
Predicted-Target Greedy,10,320,102
Predicted-Target Greedy,11,16,8
Predicted-Target Greedy,11,32,15
Predicted-Target Greedy,11,48,17
Predicted-Target Greedy,11,64,19
Predicted-Target Greedy,11,80,26
Predicted-Target Greedy,11,96,30
Predicted-Target Greedy,11,112,36
Predicted-Target Greedy,11,128,40
Predicted-Target Greedy,11,144,46
Predicted-Target Greedy,11,160,50
Predicted-Target Greedy,11,176,56
Predicted-Target Greedy,11,192,62
Predicted-Target Greedy,11,208,69
Predicted-Target Greedy,11,224,73
Predicted-Target Greedy,11,240,81
Predicted-Target Greedy,11,256,88
Predicted-Target Greedy,11,272,91
Predicted-Target Greedy,11,288,95
Predicted-Target Greedy,11,304,97
Predicted-Target Greedy,11,320,99
Predicted-Target Greedy,12,16,8
Predicted-Target Greedy,12,32,15
Predicted-Target Greedy,12,48,17
Predicted-Target Greedy,12,64,19
Predicted-Target Greedy,12,80,26
Predicted-Target Greedy,12,96,30
Predicted-Target Greedy,12,112,36
Predicted-Target Greedy,12,128,40
Predicted-Target Greedy,12,144,46
Predicted-Target Greedy,12,160,50
Predicted-Target Greedy,12,176,56
Predicted-Target Greedy,12,192,62
Predicted-Target Greedy,12,208,69
Predicted-Target Greedy,12,224,73
Predicted-Target Greedy,12,240,81
Predicted-Target Greedy,12,256,88
Predicted-Target Greedy,12,272,91
Predicted-Target Greedy,12,288,94
Predicted-Target Greedy,12,304,98
Predicted-Target Greedy,12,320,100
Predicted-Target Greedy,13,16,8
Predicted-Target Greedy,13,32,15
Predicted-Target Greedy,13,48,17
Predicted-Target Greedy,13,64,19
Predicted-Target Greedy,13,80,26
Predicted-Target Greedy,13,96,30
Predicted-Target Greedy,13,112,36
Predicted-Target Greedy,13,128,40
Predicted-Target Greedy,13,144,46
Predicted-Target Greedy,13,160,50
Predicted-Target Greedy,13,176,56
Predicted-Target Greedy,13,192,62
Predicted-Target Greedy,13,208,69
Predicted-Target Greedy,13,224,73
Predicted-Target Greedy,13,240,81
Predicted-Target Greedy,13,256,88
Predicted-Target Greedy,13,272,91
Predicted-Target Greedy,13,288,97
Predicted-Target Greedy,13,304,98
Predicted-Target Greedy,13,320,100
Predicted-Target Greedy,14,16,8
Predicted-Target Greedy,14,32,15
Predicted-Target Greedy,14,48,17
Predicted-Target Greedy,14,64,19
Predicted-Target Greedy,14,80,26
Predicted-Target Greedy,14,96,30
Predicted-Target Greedy,14,112,36
Predicted-Target Greedy,14,128,40
Predicted-Target Greedy,14,144,46
Predicted-Target Greedy,14,160,50
Predicted-Target Greedy,14,176,56
Predicted-Target Greedy,14,192,62
Predicted-Target Greedy,14,208,69
Predicted-Target Greedy,14,224,73
Predicted-Target Greedy,14,240,81
Predicted-Target Greedy,14,256,88
Predicted-Target Greedy,14,272,91
Predicted-Target Greedy,14,288,95
Predicted-Target Greedy,14,304,97
Predicted-Target Greedy,14,320,101
