candidate_id,split,model_name,model_package_version,checkpoint_sha256,device,status,error_type,error_message,converged,steps,initial_energy_eV_atom,final_energy_eV_atom,max_force_eV_A,stress_GPa,initial_volume_A3,final_volume_A3,volume_change_fraction,min_interatomic_distance_A,rms_displacement_A,final_space_group_number,final_space_group_symbol,collapsed,relaxed_structure_cluster,merged_candidate_count,model_disagreement_eV_atom,wall_time_seconds,result_sha256
job_005_Al_fe_-1.478_n4_generated_crystals_cif__gen_0,prospective,CHGNet,0.4.2,131bf40fe7fb7e0a4685589e31019fed2e757e8f4bff5e335330b9854cf9e926,cuda,DONE,,,True,8,-7.018291473388672,-7.021498543875558,0.09028028752918626,0.4816523533633536,78.43992443476597,78.43900342010868,-1.174165661088633e-05,1.8119771313118616,0.02323256530028624,12,C2/m,False,CHGNET_0009,1,0.4110333540558475,0.7144156768918037,5ce1b0eb73deb5fadc42f77fa700d9a2110fc7a204d445fd0c9decce2e44bd1a
job_005_Al_fe_-1.478_n4_generated_crystals_cif__gen_0,prospective,MACE-MP,0.3.16,01bfe22100139f424713cf921144e5509cbe353d67aa9fa1be9c6e1e0ed35845,cuda,DONE,,,True,9,-6.607558442383076,-6.610465189819711,0.05771748365946908,1.1414854726353156,78.43992443476597,78.35273925459471,-0.0011114898541719764,1.8153921414116154,0.018023583047139597,12,C2/m,False,MACEMP_0009,1,0.4110333540558475,0.6088231168687344,982734a8bcf488b2322cc9a62b1fe099f04051418689cfe14dab1bcad8af4e25
job_005_Al_fe_-1.478_n4_generated_crystals_cif__gen_2,prospective,CHGNet,0.4.2,131bf40fe7fb7e0a4685589e31019fed2e757e8f4bff5e335330b9854cf9e926,cuda,DONE,,,True,15,-6.825837816510882,-6.834402356828962,0.07193373833203869,1.5474789404583924,70.3754403186317,71.72555191467407,0.019184414192360277,1.7161583074500808,0.019467019502727383,166,R-3m,False,CHGNET_0010,2,0.3730463635707473,1.2801978457719088,cd4ce2921e6f334658290651eb91931919d5531bde2c9f6e83235225ab782053
job_005_Al_fe_-1.478_n4_generated_crystals_cif__gen_2,prospective,MACE-MP,0.3.16,01bfe22100139f424713cf921144e5509cbe353d67aa9fa1be9c6e1e0ed35845,cuda,DONE,,,True,12,-6.4535829382961225,-6.4613559932582145,0.08744131647695544,0.5438372655027552,70.3754403186317,70.60284647512103,0.0032313283648346403,1.7531753718425278,0.029006655416271974,166,R-3m,False,MACEMP_0010,2,0.3730463635707473,0.7923313826322556,d84bde75c1d4c19bad1d58f30659acd36792e6153ce50fa5965c108110f83635
job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_0,prospective,CHGNet,0.4.2,131bf40fe7fb7e0a4685589e31019fed2e757e8f4bff5e335330b9854cf9e926,cuda,DONE,,,True,9,-7.658291952950614,-7.663602556501116,0.09509952078348889,1.2325083146266285,78.06297120626716,77.38948794930454,-0.008627435601740951,1.9503212636873646,0.018803473781426237,166,R-3m,False,CHGNET_0011,1,0.8652217922567909,0.8109770659357309,c4715c406e5d71e8bd163126f126fcd628b1770c8db82f084e14e162670fd1ce
job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_0,prospective,MACE-MP,0.3.16,01bfe22100139f424713cf921144e5509cbe353d67aa9fa1be9c6e1e0ed35845,cuda,DONE,,,True,15,-6.791212810427411,-6.7983807642443255,0.04897291790511902,1.356893180432218,78.06297120626716,76.5724013968004,-0.01909445395728282,1.9444826297101185,0.017609235947244832,166,R-3m,False,MACEMP_0011,1,0.8652217922567909,0.9487306363880634,61257c906deab97c176ea1bc91d17c55e5e590947b4ccbe0fb7df13e4940d310
job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_1,development_calibration,CHGNet,0.4.2,131bf40fe7fb7e0a4685589e31019fed2e757e8f4bff5e335330b9854cf9e926,cuda,DONE,,,True,30,-7.682035173688616,-7.710149492536273,0.09705651689787628,0.9846094535211762,78.82760084859551,75.34375841720369,-0.04419571817342571,1.907360281394705,0.1069854551350525,1,P1,False,CHGNET_0012,15,0.8688955870808286,2.3533701319247484,7af9b0b32fe3c44f8cb2b12d7ea9874fe33492d8d07e0bd679bd884310d19903
job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_1,development_calibration,MACE-MP,0.3.16,01bfe22100139f424713cf921144e5509cbe353d67aa9fa1be9c6e1e0ed35845,cuda,DONE,,,True,20,-6.823247602450486,-6.841253905455444,0.03199489673615288,0.9499203503632822,78.82760084859551,76.29639484573248,-0.03211065636419319,1.9321707695871384,0.0553163653574993,2,P-1,False,MACEMP_0012,15,0.8688955870808286,1.292225532233715,03ef01e54f51b87b7975ac146c51cec405632d5842d30741848a8e7b1b7842a1
job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_2,prospective,CHGNet,0.4.2,131bf40fe7fb7e0a4685589e31019fed2e757e8f4bff5e335330b9854cf9e926,cuda,DONE,,,True,9,-7.710212707519531,-7.711910247802734,0.0863337548130783,0.4643202141650909,77.0477241917888,76.87553079740411,-0.0022348926745203723,1.9062412806713906,0.014327116668865004,1,P1,False,CHGNET_0012,15,0.8662655653077636,0.8020435161888599,440e65ae702e6fee90aa5e9c87bc61b43bf34d598ce6b0ad14b6380bd64ce071
job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_2,prospective,MACE-MP,0.3.16,01bfe22100139f424713cf921144e5509cbe353d67aa9fa1be9c6e1e0ed35845,cuda,DONE,,,True,9,-6.843728026021168,-6.845644682494971,0.0846086331683214,0.5950243564326586,77.0477241917888,76.85272541791635,-0.002530882980879001,1.9104671953797812,0.014674494654078309,1,P1,False,MACEMP_0012,15,0.8662655653077636,0.5362600162625313,0c773f620e0b9deddce5aa0d27364906315dd339628cabd215463832ab0544a5
job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_3,prospective,CHGNet,0.4.2,131bf40fe7fb7e0a4685589e31019fed2e757e8f4bff5e335330b9854cf9e926,cuda,DONE,,,True,2,-7.721979413713727,-7.722194671630859,0.08566126619873028,0.9039734351381573,74.97363873211631,75.01276798155922,0.000521906767560143,1.9202798529146141,0.0023732353014986603,2,P-1,False,CHGNET_0013,35,0.8684019449864389,0.19849383272230625,ddf999ab6084ab7c6efbfc69424c49ab97a1e5debd0bbcd4829fd227a0fe2629
job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_3,prospective,MACE-MP,0.3.16,01bfe22100139f424713cf921144e5509cbe353d67aa9fa1be9c6e1e0ed35845,cuda,DONE,,,True,5,-6.852961812729812,-6.8537927266444205,0.05039357615389769,1.1551638030914122,74.97363873211631,75.23235703052316,0.0034507902081590824,1.9178649918233779,0.010305320395210106,2,P-1,False,MACEMP_0013,35,0.8684019449864389,0.3611679710447788,b6881b5fd79b7b261acaa0885c7b6a26bd01f5a3b244ce39a781beb56fe31532
job_007_Mg_fe_-1.079_n4_generated_crystals_cif__gen_0,prospective,CHGNet,0.4.2,131bf40fe7fb7e0a4685589e31019fed2e757e8f4bff5e335330b9854cf9e926,cuda,DONE,,,True,0,-5.445326668875558,-5.445326668875558,0.009657020807917362,1.4981207813536048,72.72282388637984,72.72282388637984,0.0,2.073700798946883,0.0,123,P4/mmm,False,CHGNET_0014,3,0.3621863422436684,0.0757865272462368,e29fc3b8b9fdea960d75bee5c5fe4199e864abe8822554c0b135fc13245fcdae
job_007_Mg_fe_-1.079_n4_generated_crystals_cif__gen_0,prospective,MACE-MP,0.3.16,01bfe22100139f424713cf921144e5509cbe353d67aa9fa1be9c6e1e0ed35845,cuda,DONE,,,True,7,-5.080806844769643,-5.08314032663189,0.004487620975802736,1.5270141077025117,72.72282388637984,71.52534615349832,-0.01646632609801335,2.0705345914271485,0.001356937122219395,123,P4/mmm,False,MACEMP_0014,3,0.3621863422436684,0.47442867793142796,809b6b5d2832302b6b207958dc9012fb6de89e5b4f7c5d8a1d8c56fb822aede8
job_008_Mg_fe_-1.361_n4_generated_crystals_cif__gen_1,prospective,CHGNet,0.4.2,131bf40fe7fb7e0a4685589e31019fed2e757e8f4bff5e335330b9854cf9e926,cuda,DONE,,,True,0,-5.45165034702846,-5.45165034702846,0.04503786402994334,1.2086675211551587,73.22053237909483,73.22053237909483,0.0,2.014693506317843,0.0,139,I4/mmm,False,CHGNET_0015,8,0.36490631900703274,0.07215911336243153,ee3f298714b0967e49ce72c5ce70b51a9699a0fe15f3bbe879cfc3c5ce28e5f3
job_008_Mg_fe_-1.361_n4_generated_crystals_cif__gen_1,prospective,MACE-MP,0.3.16,01bfe22100139f424713cf921144e5509cbe353d67aa9fa1be9c6e1e0ed35845,cuda,DONE,,,True,5,-5.085759299079682,-5.086744028021427,0.03708160021941197,1.512354387396104,73.22053237909483,72.6778351536322,-0.007411817530263876,1.9977612666809907,0.006413031601870437,139,I4/mmm,False,MACEMP_0015,8,0.36490631900703274,0.3323531150817871,b2a86a8d6e839639cc3c4a3126e01475bd4ab7b59c586663d1f8a1b3bcac5850
job_009_Ti_fe_-1.009_n4_generated_crystals_cif__gen_1,prospective,CHGNet,0.4.2,131bf40fe7fb7e0a4685589e31019fed2e757e8f4bff5e335330b9854cf9e926,cuda,DONE,,,True,0,-8.531644003731865,-8.531644003731865,0.08910088340557468,0.810925321513144,76.66601071586938,76.66601071586938,0.0,1.9898429670577942,0.0,10,P2/m,False,CHGNET_0016,11,0.4091786797425794,0.06726199388504028,aa9716541192f737ebe740d4d7a45ca0fe24a339650bfa6c11ad3bfa52e1c057
job_009_Ti_fe_-1.009_n4_generated_crystals_cif__gen_1,prospective,MACE-MP,0.3.16,01bfe22100139f424713cf921144e5509cbe353d67aa9fa1be9c6e1e0ed35845,cuda,DONE,,,True,1,-8.122403591689329,-8.122465323989285,0.07217419202660248,1.3456525169116267,76.66601071586938,76.64260304456852,-0.00030532006403216627,1.9896649168701683,0.0006215899124139864,10,P2/m,False,MACEMP_0016,11,0.4091786797425794,0.1089346595108509,42b854a0659af4a6ceb60de0c2f291b72cbb4ffa9f04c3bc0a5fd5e8c73d1637
job_009_Ti_fe_-1.009_n4_generated_crystals_cif__gen_3,prospective,CHGNet,0.4.2,131bf40fe7fb7e0a4685589e31019fed2e757e8f4bff5e335330b9854cf9e926,cuda,DONE,,,True,6,-8.36944307599749,-8.370831625802177,0.06568782180706692,0.37644625649275304,78.54927978351373,79.26109235766377,0.009061987278710104,1.829369303429707,0.013688693015842203,187,P-6m2,False,CHGNET_0017,1,0.40276422057682204,0.5242800880223513,d5f98dfd28ff4096d7c4cfb1d5c6d36aa505bc0907660828e3268242503e3fa7
job_009_Ti_fe_-1.009_n4_generated_crystals_cif__gen_3,prospective,MACE-MP,0.3.16,01bfe22100139f424713cf921144e5509cbe353d67aa9fa1be9c6e1e0ed35845,cuda,DONE,,,True,9,-7.966161598325032,-7.968067405225355,0.09736773604345297,0.4757112286817465,78.54927978351373,78.75193062643125,0.002579919809271747,1.8269352260729974,0.02059590221452179,187,P-6m2,False,MACEMP_0017,1,0.40276422057682204,0.6020320393145084,c54a9ffa72d5c6f4477339f9ec429e6bdd4eb142849d86a91362698f09b01e60
job_010_Al_fe_-1.346_n4_generated_crystals_cif__gen_0,prospective,CHGNet,0.4.2,131bf40fe7fb7e0a4685589e31019fed2e757e8f4bff5e335330b9854cf9e926,cuda,DONE,,,True,10,-7.037203107561384,-7.040506090436663,0.06798517794471813,1.4544409734075165,62.346788637348304,63.45659073694072,0.017800469340093494,1.865931117268918,0.027877756110807946,44,Imm2,False,CHGNET_0018,9,0.40179411910794816,0.9005244448781013,f1d403ad0bedeedd415ca4a628c1fd0c3f86f3c30156d2c14fcd1b3d9b27be6a
job_010_Al_fe_-1.346_n4_generated_crystals_cif__gen_0,prospective,MACE-MP,0.3.16,01bfe22100139f424713cf921144e5509cbe353d67aa9fa1be9c6e1e0ed35845,cuda,DONE,,,True,3,-6.637549920750275,-6.638711971328715,0.09947976657445085,1.5735644712797237,62.346788637348304,62.54144298813298,0.003122123128376675,1.8691870393316943,0.008102091656428057,44,Imm2,False,MACEMP_0018,9,0.40179411910794816,0.23915005661547184,07c0059ed757db0dc2f57e86e5224e4fb82ceb854bb6b1dfcb5aa87d1c757d1b
job_010_Al_fe_-1.346_n4_generated_crystals_cif__gen_2,prospective,CHGNet,0.4.2,131bf40fe7fb7e0a4685589e31019fed2e757e8f4bff5e335330b9854cf9e926,cuda,DONE,,,True,13,-7.021320343017578,-7.024762834821429,0.07486595284604078,1.404732757494995,69.6359367568145,69.91602481603378,0.004022176942882538,1.8693687057225405,0.020786993220747,12,C2/m,False,CHGNET_0019,8,0.3860040554075068,1.0531074404716492,d98ad74bb917d6fa5f7ce219c4108f38f17fcecc557ba78027d8a1ab2ad1d40b
job_010_Al_fe_-1.346_n4_generated_crystals_cif__gen_2,prospective,MACE-MP,0.3.16,01bfe22100139f424713cf921144e5509cbe353d67aa9fa1be9c6e1e0ed35845,cuda,DONE,,,True,8,-6.636660952830321,-6.638758779413922,0.0954653380940298,1.4302700563018582,69.6359367568145,69.35184039232072,-0.00407973781534543,1.8728200338624088,0.015496235915333775,12,C2/m,False,MACEMP_0019,8,0.3860040554075068,0.5213592499494553,002b64f78f6d5b7a88de1761db29e55eb29b9cbbd0f08b1cbca805c1069fb402
job_010_Al_fe_-1.346_n4_generated_crystals_cif__gen_3,prospective,CHGNet,0.4.2,131bf40fe7fb7e0a4685589e31019fed2e757e8f4bff5e335330b9854cf9e926,cuda,DONE,,,True,13,-7.021319253104074,-7.025087084089007,0.08426291534279716,1.4208801349484128,69.08915858818196,69.61529848384902,0.007615375645305011,1.8697272922639272,0.021763944175540072,12,C2/m,False,CHGNET_0019,8,0.384712939454249,1.1276694554835558,0775aae9a87fec86c2b2a47aecbcd5e95f4046894d8b20276c26429d1e14eb4b
job_010_Al_fe_-1.346_n4_generated_crystals_cif__gen_3,prospective,MACE-MP,0.3.16,01bfe22100139f424713cf921144e5509cbe353d67aa9fa1be9c6e1e0ed35845,cuda,DONE,,,True,9,-6.637802519753988,-6.640374144634758,0.0860344482213724,0.9580813198351343,69.08915858818196,69.00076130098792,-0.0012794668367717144,1.8740142621939946,0.03282034098440549,12,C2/m,False,MACEMP_0019,8,0.384712939454249,0.5997075214982033,0dcbf3f8fb59ccd262db2753313124e5f76cc7d68c10f4579bffe79bedbd292c
job_011_Mg_fe_-1.305_n4_generated_crystals_cif__gen_0,development_calibration,CHGNet,0.4.2,131bf40fe7fb7e0a4685589e31019fed2e757e8f4bff5e335330b9854cf9e926,cuda,DONE,,,True,14,-5.452515738351004,-5.4600982666015625,0.08383186485279583,1.1429377900728186,76.21996764978414,77.54625895192055,0.017400837904188782,2.030740090439477,0.05184626494315133,119,I-4m2,False,CHGNET_0020,15,0.39571414584817965,1.1952773295342922,b6b2175d06ccf31f14043c0e2dd8482ff8689edecd081aea11bdcd8eae345169
job_011_Mg_fe_-1.305_n4_generated_crystals_cif__gen_0,development_calibration,MACE-MP,0.3.16,01bfe22100139f424713cf921144e5509cbe353d67aa9fa1be9c6e1e0ed35845,cuda,DONE,,,True,4,-5.063712388583192,-5.064384120753383,0.058889290790042445,1.4199739749878784,76.21996764978414,76.06483642509363,-0.002035309505814875,2.0305606353589836,0.005362605489922359,119,I-4m2,False,MACEMP_0020,15,0.39571414584817965,0.28370469249784946,42468220146c36d04c66741dc1686a9c3ad18554bdcc84dd40aa4d427a427559
job_011_Mg_fe_-1.305_n4_generated_crystals_cif__gen_2,prospective,CHGNet,0.4.2,131bf40fe7fb7e0a4685589e31019fed2e757e8f4bff5e335330b9854cf9e926,cuda,DONE,,,True,15,-5.4516160147530695,-5.461197444370815,0.07292623936980556,1.2828033158743644,77.17633384665369,77.46198768590956,0.0037013139264097106,2.033876509064546,0.06997766145432523,119,I-4m2,False,CHGNET_0020,15,0.394811254066628,1.09692363999784,edab280ecb81c42c767ca5db4f8cd0b854202d8375d5697ebc749470a9f0e761
