candidate_id,p_dft_evaluable,prediction_role
job_105_Mn_fe_-0.898_n4_generated_crystals_cif__gen_3,0.4723947184680235,prospective_unlabeled
job_106_Mn_fe_-1.140_n4_generated_crystals_cif__gen_1,0.4155675672159499,prospective_unlabeled
job_106_Mn_fe_-1.140_n4_generated_crystals_cif__gen_2,0.5611607888907697,prospective_unlabeled
job_106_Mn_fe_-1.140_n4_generated_crystals_cif__gen_3,0.5314660730944564,prospective_unlabeled
job_112_Cr_fe_-1.215_n4_generated_crystals_cif__gen_0,0.6889576410787862,prospective_unlabeled
job_112_Cr_fe_-1.215_n4_generated_crystals_cif__gen_1,0.7416272311851361,prospective_unlabeled
job_112_Cr_fe_-1.215_n4_generated_crystals_cif__gen_2,0.8924832894562995,prospective_unlabeled
job_112_Cr_fe_-1.215_n4_generated_crystals_cif__gen_3,0.7233833333291948,prospective_unlabeled
job_113_Mn_fe_-1.432_n4_generated_crystals_cif__gen_0,0.188853987789863,prospective_unlabeled
job_113_Mn_fe_-1.432_n4_generated_crystals_cif__gen_1,0.5520796038950373,prospective_unlabeled
job_113_Mn_fe_-1.432_n4_generated_crystals_cif__gen_2,0.5330706208759346,prospective_unlabeled
job_118_Mn_fe_-1.458_n4_generated_crystals_cif__gen_0,0.4207015336340188,prospective_unlabeled
job_118_Mn_fe_-1.458_n4_generated_crystals_cif__gen_1,0.3800065121866943,prospective_unlabeled
job_118_Mn_fe_-1.458_n4_generated_crystals_cif__gen_2,0.6802568148397495,prospective_unlabeled
job_118_Mn_fe_-1.458_n4_generated_crystals_cif__gen_3,0.4792193107918973,prospective_unlabeled
job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1,0.732259111959197,selected_model_oof
job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_2,0.4993363030761964,prospective_unlabeled
job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_3,0.5818510403625293,prospective_unlabeled
job_125_Mn_fe_-1.190_n4_generated_crystals_cif__gen_1,0.5268711566998134,prospective_unlabeled
job_125_Mn_fe_-1.190_n4_generated_crystals_cif__gen_2,0.2984949834246224,prospective_unlabeled
job_125_Mn_fe_-1.190_n4_generated_crystals_cif__gen_3,0.6157487389116806,prospective_unlabeled
job_126_Cr_fe_-0.901_n4_generated_crystals_cif__gen_0,0.8571772868194352,prospective_unlabeled
job_126_Cr_fe_-0.901_n4_generated_crystals_cif__gen_2,0.7615621156605943,prospective_unlabeled
job_126_Cr_fe_-0.901_n4_generated_crystals_cif__gen_3,0.3831580174063403,prospective_unlabeled
job_127_Mn_fe_-1.465_n4_generated_crystals_cif__gen_0,0.581711118483184,prospective_unlabeled
job_127_Mn_fe_-1.465_n4_generated_crystals_cif__gen_1,0.2078617450107704,prospective_unlabeled
job_127_Mn_fe_-1.465_n4_generated_crystals_cif__gen_2,0.7340427649138342,prospective_unlabeled
job_127_Mn_fe_-1.465_n4_generated_crystals_cif__gen_3,0.5465727758686026,prospective_unlabeled
job_128_Mg_fe_-0.915_n4_generated_crystals_cif__gen_2,0.7944770453543925,prospective_unlabeled
job_129_Mn_fe_-0.852_n4_generated_crystals_cif__gen_0,0.2020556069205239,prospective_unlabeled
job_129_Mn_fe_-0.852_n4_generated_crystals_cif__gen_1,0.5721158495827341,prospective_unlabeled
job_129_Mn_fe_-0.852_n4_generated_crystals_cif__gen_3,0.5697747876322911,prospective_unlabeled
job_130_Cr_fe_-1.335_n4_generated_crystals_cif__gen_0,0.7580861799626458,prospective_unlabeled
job_130_Cr_fe_-1.335_n4_generated_crystals_cif__gen_1,0.7283853047305116,prospective_unlabeled
job_130_Cr_fe_-1.335_n4_generated_crystals_cif__gen_2,0.7414494318785064,prospective_unlabeled
job_130_Cr_fe_-1.335_n4_generated_crystals_cif__gen_3,0.7490557704874629,prospective_unlabeled
job_133_Mn_fe_-1.385_n4_generated_crystals_cif__gen_0,0.4239172698011399,prospective_unlabeled
job_133_Mn_fe_-1.385_n4_generated_crystals_cif__gen_2,0.188207765156469,prospective_unlabeled
job_133_Mn_fe_-1.385_n4_generated_crystals_cif__gen_3,0.363811091656644,prospective_unlabeled
job_134_Mn_fe_-0.810_n4_generated_crystals_cif__gen_0,0.6999537817132486,prospective_unlabeled
job_134_Mn_fe_-0.810_n4_generated_crystals_cif__gen_1,0.4037449641240229,prospective_unlabeled
job_134_Mn_fe_-0.810_n4_generated_crystals_cif__gen_2,0.4957039781604105,prospective_unlabeled
job_134_Mn_fe_-0.810_n4_generated_crystals_cif__gen_3,0.5785807878928322,prospective_unlabeled
job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0,0.732259111959197,selected_model_oof
job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_1,0.7304783853190309,prospective_unlabeled
job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_2,0.7276219693157487,prospective_unlabeled
job_142_Mn_fe_-1.095_n4_generated_crystals_cif__gen_0,0.7739351617809489,prospective_unlabeled
job_142_Mn_fe_-1.095_n4_generated_crystals_cif__gen_1,0.4318533813279479,prospective_unlabeled
job_142_Mn_fe_-1.095_n4_generated_crystals_cif__gen_3,0.4921173808230643,prospective_unlabeled
job_143_Mg_fe_-1.457_n4_generated_crystals_cif__gen_1,0.8248236865983081,prospective_unlabeled
job_146_Cr_fe_-1.128_n4_generated_crystals_cif__gen_0,0.6753412241269616,prospective_unlabeled
job_146_Cr_fe_-1.128_n4_generated_crystals_cif__gen_1,0.7343145438351493,prospective_unlabeled
job_146_Cr_fe_-1.128_n4_generated_crystals_cif__gen_2,0.7145166723821201,prospective_unlabeled
job_146_Cr_fe_-1.128_n4_generated_crystals_cif__gen_3,0.644551594353636,prospective_unlabeled
job_147_Mn_fe_-0.827_n4_generated_crystals_cif__gen_0,0.2169074491117887,prospective_unlabeled
job_147_Mn_fe_-0.827_n4_generated_crystals_cif__gen_1,0.4829722506877205,prospective_unlabeled
job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_0,0.7228374134078364,prospective_unlabeled
job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_1,0.661657944460921,selected_model_oof
job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_2,0.3331922460401546,selected_model_oof
job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_3,0.5362598113098231,prospective_unlabeled
job_149_Mn_fe_-1.083_n4_generated_crystals_cif__gen_0,0.50446333604772,prospective_unlabeled
