candidate_id,hidden_p_dft_evaluable,score_source
job_092_Cr_fe_-1.075_n4_generated_crystals_cif__gen_1,0.2405524615629073,shallow_gradient_boosting_OOF
job_092_Cr_fe_-1.075_n4_generated_crystals_cif__gen_2,0.8424984103749494,full_model_unseen_pool
job_092_Cr_fe_-1.075_n4_generated_crystals_cif__gen_3,0.2048887944897085,full_model_unseen_pool
job_094_Cr_fe_-0.989_n4_generated_crystals_cif__gen_0,0.4193213908800147,full_model_unseen_pool
job_094_Cr_fe_-0.989_n4_generated_crystals_cif__gen_1,0.7720116616490583,full_model_unseen_pool
job_094_Cr_fe_-0.989_n4_generated_crystals_cif__gen_2,0.8795473095553672,full_model_unseen_pool
job_098_Mg_fe_-1.184_n4_generated_crystals_cif__gen_1,0.7943110874633722,full_model_unseen_pool
job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1,0.28204825863915,shallow_gradient_boosting_OOF
job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_2,0.2810591896199564,full_model_unseen_pool
job_105_Mn_fe_-0.898_n4_generated_crystals_cif__gen_0,0.4310290865718325,full_model_unseen_pool
job_105_Mn_fe_-0.898_n4_generated_crystals_cif__gen_1,0.5209371797331577,full_model_unseen_pool
job_105_Mn_fe_-0.898_n4_generated_crystals_cif__gen_2,0.719707215783111,full_model_unseen_pool
job_105_Mn_fe_-0.898_n4_generated_crystals_cif__gen_3,0.4723947184680235,full_model_unseen_pool
job_106_Mn_fe_-1.140_n4_generated_crystals_cif__gen_1,0.4155675672159499,full_model_unseen_pool
job_106_Mn_fe_-1.140_n4_generated_crystals_cif__gen_2,0.5611607888907697,full_model_unseen_pool
job_106_Mn_fe_-1.140_n4_generated_crystals_cif__gen_3,0.5314660730944564,full_model_unseen_pool
job_112_Cr_fe_-1.215_n4_generated_crystals_cif__gen_0,0.6889576410787862,full_model_unseen_pool
job_112_Cr_fe_-1.215_n4_generated_crystals_cif__gen_1,0.7416272311851361,full_model_unseen_pool
job_112_Cr_fe_-1.215_n4_generated_crystals_cif__gen_2,0.8924832894562995,full_model_unseen_pool
job_112_Cr_fe_-1.215_n4_generated_crystals_cif__gen_3,0.7233833333291948,full_model_unseen_pool
job_113_Mn_fe_-1.432_n4_generated_crystals_cif__gen_0,0.188853987789863,full_model_unseen_pool
job_113_Mn_fe_-1.432_n4_generated_crystals_cif__gen_1,0.5520796038950373,full_model_unseen_pool
job_113_Mn_fe_-1.432_n4_generated_crystals_cif__gen_2,0.5330706208759346,full_model_unseen_pool
job_118_Mn_fe_-1.458_n4_generated_crystals_cif__gen_0,0.4207015336340188,full_model_unseen_pool
job_118_Mn_fe_-1.458_n4_generated_crystals_cif__gen_1,0.3800065121866943,full_model_unseen_pool
job_118_Mn_fe_-1.458_n4_generated_crystals_cif__gen_2,0.6802568148397495,full_model_unseen_pool
job_118_Mn_fe_-1.458_n4_generated_crystals_cif__gen_3,0.4792193107918973,full_model_unseen_pool
job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1,0.732259111959197,shallow_gradient_boosting_OOF
job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_2,0.4993363030761964,full_model_unseen_pool
job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_3,0.5818510403625293,full_model_unseen_pool
job_125_Mn_fe_-1.190_n4_generated_crystals_cif__gen_1,0.5268711566998134,full_model_unseen_pool
job_125_Mn_fe_-1.190_n4_generated_crystals_cif__gen_2,0.2984949834246224,full_model_unseen_pool
job_125_Mn_fe_-1.190_n4_generated_crystals_cif__gen_3,0.6157487389116806,full_model_unseen_pool
job_126_Cr_fe_-0.901_n4_generated_crystals_cif__gen_0,0.8571772868194352,full_model_unseen_pool
job_126_Cr_fe_-0.901_n4_generated_crystals_cif__gen_2,0.7615621156605943,full_model_unseen_pool
job_126_Cr_fe_-0.901_n4_generated_crystals_cif__gen_3,0.3831580174063403,full_model_unseen_pool
job_127_Mn_fe_-1.465_n4_generated_crystals_cif__gen_0,0.581711118483184,full_model_unseen_pool
job_127_Mn_fe_-1.465_n4_generated_crystals_cif__gen_1,0.2078617450107704,full_model_unseen_pool
job_127_Mn_fe_-1.465_n4_generated_crystals_cif__gen_2,0.7340427649138342,full_model_unseen_pool
job_127_Mn_fe_-1.465_n4_generated_crystals_cif__gen_3,0.5465727758686026,full_model_unseen_pool
job_128_Mg_fe_-0.915_n4_generated_crystals_cif__gen_2,0.7944770453543925,full_model_unseen_pool
job_129_Mn_fe_-0.852_n4_generated_crystals_cif__gen_0,0.2020556069205239,full_model_unseen_pool
job_129_Mn_fe_-0.852_n4_generated_crystals_cif__gen_1,0.5721158495827341,full_model_unseen_pool
job_129_Mn_fe_-0.852_n4_generated_crystals_cif__gen_3,0.5697747876322911,full_model_unseen_pool
job_130_Cr_fe_-1.335_n4_generated_crystals_cif__gen_0,0.7580861799626458,full_model_unseen_pool
job_130_Cr_fe_-1.335_n4_generated_crystals_cif__gen_1,0.7283853047305116,full_model_unseen_pool
job_130_Cr_fe_-1.335_n4_generated_crystals_cif__gen_2,0.7414494318785064,full_model_unseen_pool
job_130_Cr_fe_-1.335_n4_generated_crystals_cif__gen_3,0.7490557704874629,full_model_unseen_pool
job_133_Mn_fe_-1.385_n4_generated_crystals_cif__gen_0,0.4239172698011399,full_model_unseen_pool
job_133_Mn_fe_-1.385_n4_generated_crystals_cif__gen_2,0.188207765156469,full_model_unseen_pool
job_133_Mn_fe_-1.385_n4_generated_crystals_cif__gen_3,0.363811091656644,full_model_unseen_pool
job_134_Mn_fe_-0.810_n4_generated_crystals_cif__gen_0,0.6999537817132486,full_model_unseen_pool
job_134_Mn_fe_-0.810_n4_generated_crystals_cif__gen_1,0.4037449641240229,full_model_unseen_pool
job_134_Mn_fe_-0.810_n4_generated_crystals_cif__gen_2,0.4957039781604105,full_model_unseen_pool
job_134_Mn_fe_-0.810_n4_generated_crystals_cif__gen_3,0.5785807878928322,full_model_unseen_pool
job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0,0.732259111959197,shallow_gradient_boosting_OOF
job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_1,0.7304783853190309,full_model_unseen_pool
job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_2,0.7276219693157487,full_model_unseen_pool
job_142_Mn_fe_-1.095_n4_generated_crystals_cif__gen_0,0.7739351617809489,full_model_unseen_pool
job_142_Mn_fe_-1.095_n4_generated_crystals_cif__gen_1,0.4318533813279479,full_model_unseen_pool
job_142_Mn_fe_-1.095_n4_generated_crystals_cif__gen_3,0.4921173808230643,full_model_unseen_pool
job_143_Mg_fe_-1.457_n4_generated_crystals_cif__gen_1,0.8248236865983081,full_model_unseen_pool
job_146_Cr_fe_-1.128_n4_generated_crystals_cif__gen_0,0.6753412241269616,full_model_unseen_pool
job_146_Cr_fe_-1.128_n4_generated_crystals_cif__gen_1,0.7343145438351493,full_model_unseen_pool
job_146_Cr_fe_-1.128_n4_generated_crystals_cif__gen_2,0.7145166723821201,full_model_unseen_pool
job_146_Cr_fe_-1.128_n4_generated_crystals_cif__gen_3,0.644551594353636,full_model_unseen_pool
job_147_Mn_fe_-0.827_n4_generated_crystals_cif__gen_0,0.2169074491117887,full_model_unseen_pool
job_147_Mn_fe_-0.827_n4_generated_crystals_cif__gen_1,0.4829722506877205,full_model_unseen_pool
job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_0,0.7228374134078364,full_model_unseen_pool
job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_1,0.661657944460921,shallow_gradient_boosting_OOF
job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_2,0.3331922460401546,shallow_gradient_boosting_OOF
job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_3,0.5362598113098231,full_model_unseen_pool
job_149_Mn_fe_-1.083_n4_generated_crystals_cif__gen_0,0.50446333604772,full_model_unseen_pool
job_149_Mn_fe_-1.083_n4_generated_crystals_cif__gen_2,0.1692725996705695,full_model_unseen_pool
job_149_Mn_fe_-1.083_n4_generated_crystals_cif__gen_3,0.483947400944513,full_model_unseen_pool
job_154_Mn_fe_-1.207_n4_generated_crystals_cif__gen_1,0.55398033640769,full_model_unseen_pool
job_154_Mn_fe_-1.207_n4_generated_crystals_cif__gen_2,0.5159472833804974,full_model_unseen_pool
